,id,text,created_at
112,1236100923048570881,#pup #happy 5 pairs Spring Summer Women Invisible Slipper Socks https://t.co/wWnRiKvwpP https://t.co/kHiTwAoiLE,2020-03-07 01:26:40
113,1236100237300764673,"https://t.co/AmEdgQALGS MAKE HIM PAY!!!! CLICK ON THE LINK bb
#Apex #YouTube #love #happy #instagood #games",2020-03-07 01:23:56
114,1236100156501581824,"Pinky's Insurance Agency wishes everyone a Happy Friday . #Friday , #Happy, #weekend #pinky https://t.co/eLgwS6d6Uz",2020-03-07 01:23:37
115,1236099983084007424,😃today I met two lovely poly guys we had coffee and chats and they asked me to be with them 🥰 I felt all giddy when they asked me it was done so nicely it made me feel happy #poly #Polyamorous #Polyamory #happy #bisexual,2020-03-07 01:22:56
116,1236099432669753350,Always be happy always be kind #solihull #WestMidlands  #bigplansafoot #LGBTQfamily cafe/bar/venue #2020Vision #loveislove #liveyourbestlife #happiness #alwaysbekind #happy https://t.co/CzlNQBYhAc,2020-03-07 01:20:45
117,1236099348938797056,"Don't worry, be happy 💃🏻
 #Happy https://t.co/oSTez0uAew",2020-03-07 01:20:25
118,1236099347755958277,"Don't worry, be happy 💃🏻
 #Happy https://t.co/uhoWWhMMmB",2020-03-07 01:20:24
119,1236099241342316545,We are having an amazing time in NYC! #truelove #bestfriend #travel #love #soulmate #happy #nyc #choosehappy #chooselove #fun #LDR #700miles #wemakeitwork #globetrotting https://t.co/FUYKGwhGQg,2020-03-07 01:19:59
120,1236098782485532673,"#memories MEMORIES OF MY MOM #happy #birthday #mother #mom #remembering
https://t.co/lAmQFiiQor",2020-03-07 01:18:10
121,1236098712092446720,"Please post prayer request. @BibleQuote365
#BibleQuote365 #quote #positive #bible #quotes #love #God #hope #faith #peace #blessed #pray #inspiration #motivation #life #joy #bibleverse #happy #instagood… https://t.co/n7USFcryhb",2020-03-07 01:17:53
122,1236098342523932675,"It’s been a much better day. My #procreate has new updates, I’m getting new pic ideas, I’m finally not reeling in pain. Yes, life is certainly taking a positive turn. #drawing #graphite #charcoal #painting #digitalart #artist #artwork #optimistic #blessed #happy https://t.co/RukR10oR3q",2020-03-07 01:16:25
123,1236098285300940801,"On rare occasions, Australia gets the jump on great series well worth watching. #Happy is one of those. Season 2 dropped late last year here. I caught up with it last month. It perfectly picks up where it left off &amp; continues the craziness. 

@NetflixANZ

#WatchHappy #SaveHappy https://t.co/97xwjjFqhA",2020-03-07 01:16:11
124,1236097327250788352,"Friday mood 🤷
 #Happy https://t.co/apQczx0yCG",2020-03-07 01:12:23
125,1236097325916880896,"Friday mood 🤷
 #Happy https://t.co/laohzIER9N",2020-03-07 01:12:22
126,1236097325547819008,"Friday mood 🤷
 #Happy https://t.co/kSkVOKUZJl",2020-03-07 01:12:22
127,1236097322947403778,"Friday mood 🤷
 #Happy https://t.co/BwidPZh2MP",2020-03-07 01:12:22
128,1236097320661520392,"Friday mood 🤷
 #Happy https://t.co/Xc4Vxk7qud",2020-03-07 01:12:21
129,1236097212280696832,"Happy weekend!!!! 😜
.
.
.
#friday #happy #weekend #fridayvibes #weekendvibes #liveyourbestlife #bringingsexyback #sexyasf https://t.co/V1VLqqXpdN",2020-03-07 01:11:55
130,1236096967689699328,"Ive been using my spare keys for the last three weeks because I was sure I was never going to find my other ones, but bitchhh I found them in my pile of shoes.  #happy",2020-03-07 01:10:57
131,1236096964447604738,"You've got to take the good with the bad, smile with the sad, love what you've got
 #Happy https://t.co/IWEByZIY1R",2020-03-07 01:10:56
132,1236096964288286720,"You've got to take the good with the bad, smile with the sad, love what you've got
 #Happy https://t.co/8xsgHqy709",2020-03-07 01:10:56
133,1236096933246033920,"Having dinner with Uber yanochkakevlin #dog #black lab #British black lab #family #love #dinner #night #happy #relaxing @ Ocean Township, Monmouth County, New Jersey https://t.co/c0WmPhqEP8",2020-03-07 01:10:49
134,1236096906847272960,"The first Friday of March-Happy National Employee Appreciation Day!⁠
⁠
Thank you to all of our amazing staff!⁠

#employeeappreciationday #crew #pilot #crewlife #friday ⁠
 #friyay #fridayfeeling #inspiration #happyfriday #motivation #happy #positivity #goals #support #success https://t.co/bSivjDjlsj",2020-03-07 01:10:42
135,1236096556669054976,I hope my beautiful #TAEYEON is happy and safe...I just love her so much #태연 #소녀시대 #GirlsGeneration #Happy https://t.co/9NDjdVw8Bi,2020-03-07 01:09:19
136,1236096471478554631,"Black &amp; White ♠️ Just Like I Like 👀
A Picture Says A Thousand Words 😀
Happy In My Place🙏🏽Happy In MySpace🌍
🕶’s By @blackflysusa #SpringTime
.
.
.
#friyay #friday #happy #allsmiles #teeth #shades #blackflyseyewear… https://t.co/MpCq48Zv4K",2020-03-07 01:08:59
137,1236096061216886784,"The #postmalone song #sunflower makes me #happy! #music #postmalone #hiphop #love #nolimits #leftinthedust drkimberlystearns @ Newport Beach, California https://t.co/7ZTjYooMji",2020-03-07 01:07:21
